MLocID,SampleStartDate,OrganizationID,StationDes,AU_GNIS_Name,GNIS_Name,MonLocType,HUC12_Name,ELEV_Ft,AU_ID,WaterTypeCode,WaterBodyCode,ben_use_code,OWRD_Basin,EcoRegion2,EcoRegion3,wqstd_code,Pollu_ID,Calc_Crit,Combine_Result_Cmnts,Combine_Result,Activity_Type,SampleMedia,SampleSubmedia,SampleStartTime,SampleStartTZ,chr_uid,Char_Name,Char_Speciation,Sample_Fraction,CASNumber,Result_UID,Result_status,Result_Numeric,IRResultNWQSunit,ActDepthUnit,Result_Depth,act_depth_height,Result_Depth_Unit,Act_Depth_Top,Act_Depth_Top_Unit,Act_Depth_Bottom,Act_Depth_Bottom_Unit,Time_Basis,Statistical_Base,Statistic_N_Value,act_sam_compnt_name,lab_Comments,General_Comments,Analytical_method,QualifierAbbr,QualifierTxt,IDLType,IDLValue,IDLUnit,MDLType,MDLValue,MDLUnit,MRLType,MRLUnit,MRLValue,URLType,URLValue,URLUnit,TribalLand,Result_Operator,Result_Unit,IRWQSUnitName,Result_Type,analysis_comment,Alkalinity,Calcium,Chloride,Conductivity,DOC,Hardness,Magnesium,Organic.carbon,pH,Potassium,Sodium,Sulfate,Temperature..water,TOC,Final.Acute.Value,Cu,Acute.Toxic.Units,Tier,CMC_ug.L,CCC_ug.L,Chronic.Toxic.Unit,Result_Comments
POW020,7/26/2018,1119USBR_WQX,THIEF VALLEY 200METERS ABOVE DAM,Powder River,Powder River,Reservoir,Thief Valley Reservoir-Powder River,3137,OR_LK_1705020306_05_100597,2,6,5,Powder,WESTERN CORDILLERA,11,15,45,1,,,Sample-Routine,Water,,12:00:00,MST,832,Copper,,Total,7440-50-8,70770232,Final,2,2,m,,1,,,,,,,,,,,,3500 CU B  ~ Copper in Water by FLAA or GFAA,,,,,,,,,,,,,,,0,<,ug/l,ug/l,Actual,,130,24.2,4.4,281,,,7.4,,8.8,4.1,23.1,11.2,,10.3,222.5381,2,0.017974458,1,111.269,69.1112,0.02893887,
15697-ORDEQ,11/6/2019,OREGONDEQ,"SW-3, Creek Below Roseburg Landfill",Unnamed Trib to South Umpqua River,,River/Stream,Newton Creek-South Umpqua River,538,OR_WS_171003021305_02_105321,2,2,2,Umpqua,WESTERN CORDILLERA,78,15,45,1,,,Sample-Routine,Water,Surface Water,9:25:00,PST,832,Copper,,Dissolved,7440-50-8,56886663,Final,4.58,4.58,,,,,,,,,,,,,A,,200.8 ~ EPA; Metals in Waters by ICP/MS,,,,,,,,,Minimum Reporting Level,ug/l,1.5,,,,0,=,ug/l,ug/l,Actual,,415,133,196,1390,,585,63.6,,8.2,6.1,71.6,21.7,8,11.3,209.1934,4.58,0.043787232,1,104.5967,64.9669,0.070497438,
15697-ORDEQ,11/6/2019,OREGONDEQ,"SW-3, Creek Below Roseburg Landfill",Unnamed Trib to South Umpqua River,,River/Stream,Newton Creek-South Umpqua River,538,OR_WS_171003021305_02_105321,2,2,2,Umpqua,WESTERN CORDILLERA,78,15,45,1,,,Sample-Routine,Water,Surface Water,9:25:00,PST,832,Copper,,Total Recoverable,7440-50-8,56886664,Final,4.33,4.3,,,,,,,,,,,,,A,,200.8 ~ EPA; Metals in Waters by ICP/MS,,,,,,,,,Minimum Reporting Level,ug/l,1.5,,,,0,=,ug/l,ug/l,Actual,"Result is the median of result_UIDs: 56886664, 56824922  - due to multiple results at same date",415,133,196,1390,,585,63.6,,8.2,6.1,71.6,21.7,8,11.3,209.1934,4.58,0.0413971,1,104.5967,64.9669,0.066649325,
10763-ORDEQ,2/11/2020,OREGONDEQ,Klamath Strait at USBR Pump Station F,Klamath Strait Drain,Klamath Strait Drain,River/Stream,Klamath Strait Drain,4094,OR_WS_180102041403_05_107134,2,2,5,Klamath,WESTERN CORDILLERA,9,15,45,1,,,Sample-Routine,Water,Surface Water,15:45:00,PST,832,Copper,,Total Recoverable,7440-50-8,67832641,Final,3.3,3.3,,,,,,,,,,,,,A,,200.8 ~ EPA; Metals in Waters by ICP/MS,,,,,,,,,Minimum Reporting Level,ug/l,1.5,,,,0,=,ug/l,ug/l,Actual,,160,40.3,6.64,493,14.2,163,15.2,,8,4.65,30.4,79.3,5.7,15.4,204.5546,1.56,0.032265224,0,102.2773,63.5263,0.051946989,
10763-ORDEQ,2/11/2020,OREGONDEQ,Klamath Strait at USBR Pump Station F,Klamath Strait Drain,Klamath Strait Drain,River/Stream,Klamath Strait Drain,4094,OR_WS_180102041403_05_107134,2,2,5,Klamath,WESTERN CORDILLERA,9,15,45,1,,,Sample-Routine,Water,Surface Water,15:45:00,PST,832,Copper,,Dissolved,7440-50-8,67832640,Final,1.56,1.56,,,,,,,,,,,,,A,,200.8 ~ EPA; Metals in Waters by ICP/MS,,,,,,,,,Minimum Reporting Level,ug/l,1.5,,,,0,=,ug/l,ug/l,Actual,,160,40.3,6.64,493,14.2,163,15.2,,8,4.65,30.4,79.3,5.7,15.4,204.5546,1.56,0.015252651,0,102.2773,63.5263,0.024556758,
POW020,7/11/2018,1119USBR_WQX,THIEF VALLEY 200METERS ABOVE DAM,Powder River,Powder River,Reservoir,Thief Valley Reservoir-Powder River,3137,OR_LK_1705020306_05_100597,2,6,5,Powder,WESTERN CORDILLERA,11,15,45,1,,,Sample-Routine,Water,,12:00:00,MST,832,Copper,,Total,7440-50-8,70770197,Final,2,2,,,,,,,,,,,,,,,3500 CU B  ~ Copper in Water by FLAA or GFAA,,,,,,,,,,,,,,,0,<,ug/l,ug/l,Actual,,125,24.4,4.1,268,,,7.1,,8.5,4.1,22.5,10.8,,10.5,186.8252,2,0.021410388,1,93.4126,58.0203,0.034470694,
37248-ORDEQ,4/27/2021,OREGONDEQ,Lake Cr at Hwy 34 nr Tangent,Lake Creek,Lake Creek,River/Stream,Calapooia River,208,OR_WS_170900030403_02_104274,2,2,2,Willamette,MARINE WEST COAST FOREST,3,15,45,1,,,Sample-Routine,Water,Surface Water,10:44:00,PST,832,Copper,,Dissolved,7440-50-8,69593574,Final,1.5,1.5,,,,,,,,,,,,,A,,200.8 ~ EPA; Metals in Waters by ICP/MS,,,,,,Method Detection Level,0.15,ug/l,Minimum Reporting Level,ug/l,1.5,,,,0,<,ug/l,ug/l,Actual,,121,33.9,15.8,325,5.47,136,12.6,,9.1,1.23,13,19.6,15.6,6.63,185.2366,1.5,0.016195503,0,92.6183,57.5269,0.026074758,
37248-ORDEQ,4/27/2021,OREGONDEQ,Lake Cr at Hwy 34 nr Tangent,Lake Creek,Lake Creek,River/Stream,Calapooia River,208,OR_WS_170900030403_02_104274,2,2,2,Willamette,MARINE WEST COAST FOREST,3,15,45,1,,,Sample-Routine,Water,Surface Water,10:44:00,PST,832,Copper,,Total Recoverable,7440-50-8,69593575,Final,1.5,1.5,,,,,,,,,,,,,A,,200.8 ~ EPA; Metals in Waters by ICP/MS,,,,,,Method Detection Level,0.15,ug/l,Minimum Reporting Level,ug/l,1.5,,,,0,<,ug/l,ug/l,Actual,,121,33.9,15.8,325,5.47,136,12.6,,9.1,1.23,13,19.6,15.6,6.63,185.2366,1.5,0.016195503,0,92.6183,57.5269,0.026074758,
POW020,6/15/2021,1119USBR_WQX,THIEF VALLEY 200METERS ABOVE DAM,Powder River,Powder River,Reservoir,Thief Valley Reservoir-Powder River,3137,OR_LK_1705020306_05_100597,2,6,5,Powder,WESTERN CORDILLERA,11,15,45,1,,,Sample-Routine,Water,,11:17:00,PST,832,Copper,,Total,7440-50-8,70787339,Final,2,2,,,,,,,,,,,,,,,Metals in Water by ICP-AES,,,,,,,,,,,,,,,0,<,ug/l,ug/l,Actual,,144,27.3,5.9,294,,,8.3,,8.6,4.1,25.5,14.3,17.8,8.34,184.3469,2,0.02169821,1,92.1735,57.2506,0.034934132,
POW020,6/15/2021,1119USBR_WQX,THIEF VALLEY 200METERS ABOVE DAM,Powder River,Powder River,Reservoir,Thief Valley Reservoir-Powder River,3137,OR_LK_1705020306_05_100597,2,6,5,Powder,WESTERN CORDILLERA,11,15,45,1,,,Sample-Routine,Water,,11:14:00,PST,832,Copper,,Total,7440-50-8,70787296,Final,2,2,,,,,,,,,,,,,,,Metals in Water by ICP-AES,,,,,,,,,,,,,,,0,<,ug/l,ug/l,Actual,,144,27.3,5.9,294,,,8.3,,8.6,4.1,25.5,14.3,17.8,8.34,184.3469,2,0.02169821,1,92.1735,57.2506,0.034934132,
